State FIPS Code,County FIPS Code,Postal Code,Name,Median Household Income,"Poverty Percent, All Ages","Percent of adults with a bachelor's degree or higher, 2012-2016",Alzheimer's Disease/Dementia,Arthritis,Asthma,Atrial Fibrillation,COPD,Cancer,Chronic Kidney Disease,Depression ,Diabetes,Heart Failure,Hyperlipidemia,Hypertension,Ischemic Heart Disease,Osteoporosis,Schizophrenia/Other Psychotic Disorders,Stroke,,,,,,,,
02,060,AK,Bristol Bay Borough,68026,11.4,11.945,3.6859,20.6731,2.0833,5.7692,7.3718,7.0513,9.2949,7.8526,19.2308,10.4167,25.9615,33.8141,21.6346,4.6474,1.7628,* ,,,,,,,,
02,068,AK,Denali Borough,72378,6.3,15.699,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,,,,,,,,
02,070,AK,Dillingham Census Area,52250,19.6,34.298,6.7532,26.7532,3.1169,4.1558,9.3506,4.6753,6.2338,3.8961,14.026,9.8701,16.6234,34.2857,15.3247,3.6364,* ,* ,,,,,,,,
02,090,AK,Fairbanks North Star Borough,73427,8.5,11.417,7.3586,21.959,3.1036,5.3396,7.4921,7.6589,9.1106,9.6112,19.2224,10.3621,26.2306,36.0087,19.6396,4.8223,2.6531,2.2359,,,,,,,,
02,100,AK,Haines Borough,53471,10.3,19.106,5.5402,18.0055,3.0471,6.6482,6.3712,4.4321,8.8643,7.7562,16.8975,9.9723,24.0997,40.1662,19.6676,* ,* ,* ,,,,,,,,
02,105,AK,Hoonah-Angoon Census Area,53884,19.1,38.523,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,* ,,,,,,,,
02,110,AK,Juneau Borough,82011,7.4,17.564,8.0453,16.7505,4.2426,6.6625,7.7938,6.4739,8.6424,10.8108,18.5104,10.2766,24.1358,36.7379,19.1703,4.934,4.0226,2.1056,,,,,,,,
02,122,AK,Kenai Peninsula Borough,68501,12,33.373,5.9538,18.4538,3.5237,6.1817,8.5055,6.3639,7.579,9.3256,18.7272,11.5128,20.808,36.0267,19.8512,3.5844,2.658,2.5213,,,,,,,,
02,130,AK,Ketchikan Gateway Borough,67125,9.2,40.444,7.2843,23.0032,3.77,7.7955,12.5879,7.7955,9.9681,11.885,20.3834,10.1597,28.1789,41.5974,21.2141,5.623,3.7061,2.4281,,,,,,,,
02,150,AK,Kodiak Island Borough,74683,7.3,24.256,8.7045,14.7773,4.251,5.4656,8.502,7.6923,9.1093,6.2753,20.2429,12.9555,25.9109,37.8543,17.004,3.0364,2.2267,2.2267,,,,,,,,
02,158,AK,Kusilvak Census Area,34341,37.8,39.434,,,,,,,,,,,,,,,,,,,,,,,,
02,164,AK,Lake and Peninsula Borough,44310,20.9,23.77,,,,,,,,,,,,,,,,,,,,,,,,
02,170,AK,Matanuska-Susitna Borough,71793,9.5,24.85,7.7097,25.0905,3.8171,6.0803,13.4279,6.9855,9.0223,11.4665,22.1635,11.8739,34.2788,46.8769,23.446,5.6126,1.7502,2.5196,,,,,,,,
02,180,AK,Nome Census Area,55974,24,4.797,7.8571,14.2857,* ,3.3929,11.25,5.5357,7.5,3.2143,14.2857,12.1429,14.2857,30.5357,17.8571,2.3214,* ,2.6786,,,,,,,,
02,185,AK,North Slope Borough,74998,11.9,,7.0381,17.3021,* ,* ,14.6628,7.0381,6.4516,* ,11.1437,15.8358,17.3021,32.8446,13.4897,* ,3.2258,* ,,,,,,,,
02,188,AK,Northwest Arctic Borough,53692,27.8,12.455,4.9587,17.6309,* ,3.5813,10.4683,3.0303,9.6419,4.6832,16.2534,15.978,12.9477,38.0165,17.3554,3.0303,* ,3.8567,,,,,,,,
02,195,AK,Petersburg Borough,60540,8.4,20.588,9.3284,22.0149,2.8607,8.8308,10.9453,7.2139,7.8358,9.3284,20.5224,17.1642,25.2488,39.3035,21.8905,2.8607,1.3682,1.8657,,,,,,,,
02,198,AK,Prince of Wales-Hyder Census Area,48888,17.5,13.91,4.7081,24.2938,2.8249,6.5913,12.0527,4.8964,9.6045,6.968,24.6704,12.4294,25.9887,38.7947,20.1507,4.1431,* ,3.0132,,,,,,,,
02,220,AK,Sitka Borough,72795,7.9,10.8,9.0513,24.5365,5.4526,5.9978,10.0327,8.3969,7.9607,10.9051,21.1559,12.759,32.0611,42.7481,19.8473,7.4155,3.8168,2.8353,,,,,,,,
02,230,AK,Skagway Municipality,65112,4.4,25,6.1111,15.8333,* ,4.1667,8.0556,4.1667,8.3333,9.4444,19.1667,8.8889,24.1667,31.3889,16.3889,3.3333,* ,* ,,,,,,,,
02,240,AK,Southeast Fairbanks Census Area,59412,11.8,32.4,5.5846,19.1972,4.5375,5.5846,6.4572,7.8534,7.3298,5.4101,17.801,10.2967,22.164,31.5881,22.3386,* ,* ,1.9197,,,,,,,,
02,261,AK,Valdez-Cordova Census Area,69755,9.2,,8.0366,16.3784,2.5432,6.3072,9.5626,6.7141,7.1211,8.2401,20.5493,10.9868,18.9217,32.7569,17.4975,3.4588,2.238,1.2208,,,,,,,,
02,275,AK,Wrangell City and Borough,56747,11.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,
02,282,AK,Yakutat Borough,57687,16.8,,,,,,,,,,,,,,,,,,,,,,,,,
02,290,AK,Yukon-Koyukuk Census Area,37906,23,30.1,4.8162,19.3916,2.0279,2.5349,6.4639,5.7034,6.9708,6.0837,17.237,10.8999,19.1381,29.6578,21.2928,2.2814,* ,2.0279,,,,,,,,
04,001,AZ,Apache County,34040,33.2,,6.3679,24.2188,4.5696,2.5943,6.7512,3.464,11.0996,8.7117,31.9723,10.3479,21.7866,45.681,18.6468,4.8202,1.1645,1.9163,,,,,,,,
04,003,AZ,Cochise County,45151,21.1,19.734,7.1745,20.5322,4.2067,5.4752,11.0862,6.6671,11.0685,9.9062,20.0956,12.2249,34.5979,44.864,26.6328,6.0653,1.947,2.7848,,,,,,,,
04,005,AZ,Coconino County,53643,17.8,12.256,7.6715,22.992,4.2753,5.485,7.6414,6.2364,9.8655,9.9557,19.7836,10.6319,32.5719,43.9026,22.3758,6.9953,2.0287,2.4645,,,,,,,,
04,007,AZ,Gila County,40747,20.3,27.956,6.719,25.9631,4.9662,5.3862,12.6255,6.2534,10.9001,8.417,23.2244,13.8123,33.8324,44.8421,27.9259,5.3314,1.6798,3.3686,,,,,,,,
04,009,AZ,Graham County,46714,22.9,11.059,8.3045,19.6943,3.5179,5.5075,9.2561,5.3345,10.2653,7.7566,23.5871,13.7832,24.1638,41.8397,22.6932,2.6528,1.8743,2.7105,,,,,,,,
04,011,AZ,Greenlee County,61110,12,23.163,5.2133,16.5877,3.436,4.9763,6.5166,4.3839,8.6493,6.5166,23.8152,12.0853,21.8009,40.8768,22.9858,2.4882,* ,2.4882,,,,,,,,
04,012,AZ,La Paz County,34285,24.8,34.209,5.1247,21.9238,3.0145,6.1661,12.798,7.0156,10.1946,6.9882,21.8142,12.8528,38.0652,47.0266,28.9942,3.8915,1.014,4.2477,,,,,,,,
04,013,AZ,Maricopa County,58742,15,17.737,7.6707,25.3966,4.4664,7.7967,9.0845,8.5361,12.7581,9.3111,20.288,11.6373,42.1868,49.3328,27.7875,7.1354,2.0176,3.8673,,,,,,,,
04,015,AZ,Mohave County,42003,18.3,13.324,6.3017,21.9452,4.2965,6.4335,14.202,7.6058,10.2645,8.5313,22.5257,13.6579,42.0058,49.3171,30.7093,5.6146,1.0713,4.6583,,,,,,,,
04,017,AZ,Navajo County,37440,28.2,12.197,5.9923,22.173,4.1237,4.0432,9.1092,5.0499,11.904,7.9253,25.9021,10.8006,29.1479,44.5393,22.1408,3.9063,1.4981,2.674,,,,,,,,
04,019,AZ,Pima County,47644,18.2,10.437,7.7737,22.9921,4.8119,7.4655,8.0293,8.7128,10.9396,10.4823,18.6033,10.8687,37.5257,46.2972,23.8896,6.8565,2.0972,3.0535,,,,,,,,
04,021,AZ,Pinal County,52642,15.4,30.969,6.2812,24.7825,4.5694,7.0467,11.3689,7.2084,11.5877,8.8298,24.3593,12.1915,42.2614,50.5635,29.2616,5.4063,1.726,4.151,,,,,,,,
04,023,AZ,Santa Cruz County,39090,20.9,11.879,5.6792,15.543,2.7566,4.1514,5.2806,6.3434,9.4321,7.6719,18.532,8.7014,26.0046,37.3298,19.8605,3.3876,* ,2.2584,,,,,,,,
04,025,AZ,Yavapai County,49824,13.3,14.492,6.679,25.7943,4.3021,6.5179,10.548,7.1755,9.0559,8.702,16.58,10.5322,38.2913,46.2353,25.958,7.2547,1.331,3.6049,,,,,,,,
04,027,AZ,Yuma County,42998,19.3,30.801,7.2754,23.9556,3.5743,7.0371,13.4506,7.0168,12.9538,7.7875,25.4259,13.7852,44.3166,54.492,33.0866,6.6569,1.6021,4.35,,,,,,,,
05,001,AR,Arkansas County,39726,18.1,22.493,,,,,,,,,,,,,,,,,,,,,,,,
05,003,AR,Ashley County,41277,17.9,25.542,8.8614,21.7286,3.0347,5.0983,10.2938,6.4579,9.444,10.488,24.1078,15.7077,28.0408,52.3428,34.6443,4.6128,3.4474,4.8555,,,,,,,,
05,005,AR,Baxter County,40147,12.7,14.387,11.6526,23.7684,2.4588,6.2895,12.7661,9.4788,11.8575,9.8797,22.1114,14.7884,36.9978,52.098,30.2361,6.7082,1.9154,3.3408,,,,,,,,
05,007,AR,Benton County,64072,9.1,21.506,10.2489,27.3305,3.4975,7.5111,9.795,8.3282,9.5036,13.6509,19.6235,14.5492,40.2169,51.7703,29.5523,7.8886,2.7187,4.0566,,,,,,,,
05,009,AR,Boone County,39881,15.4,14.429,9.0466,31.8372,3.5545,6.1193,12.1271,6.9557,8.712,11.1374,23.9894,15.5701,34.3881,49.1079,25.3973,6.1333,2.9551,3.9727,,,,,,,,
05,011,AR,Bradley County,34114,23.5,13.587,12.3239,30.1496,5.4137,5.4577,11.6637,6.6461,8.7148,11.3996,24.6919,27.2447,31.8662,58.2306,40.1408,6.6461,4.3574,4.5775,,,,,,,,
05,013,AR,Calhoun County,33507,17.1,17.738,7.7528,26.6292,3.2584,5.5056,14.4944,5.8427,10.3371,11.1236,24.4944,18.5393,26.9663,53.1461,35.7303,4.8315,2.6966,5.0562,,,,,,,,
05,015,AR,Carroll County,37145,17.2,30.723,10.0597,29.0537,3.2154,5.3744,10.565,6.0175,7.1888,12.8847,21.153,14.1709,31.8787,45.0161,24.3684,5.65,2.5494,3.1236,,,,,,,,
05,017,AR,Chicot County,29527,30.1,14.968,10.1146,22.0071,3.6349,5.5314,11.0233,6.7957,9.1663,10.2331,26.7483,20.8218,28.6053,60.8455,30.8179,3.8325,3.3188,5.0178,,,,,,,,
05,019,AR,Clark County,37247,22.3,14.231,10.6866,26.938,3.2392,7.2813,12.6523,8.1672,8.5548,10.7143,19.7951,15.1163,25.7752,49.1971,26.938,5.5371,2.6578,5.0664,,,,,,,,
05,021,AR,Clay County,36037,19.1,12.014,11.0232,26.0317,2.4025,6.2182,14.0192,5.3985,7.4336,12.2386,23.2617,16.563,31.1193,50.7631,33.4652,5.5964,3.4483,5.4551,,,,,,,,
05,023,AR,Cleburne County,42397,16.3,17.692,10.8717,21.7597,2.824,8.015,11.9001,7.4274,7.6069,11.7858,21.4332,14.4629,33.3986,49.9674,32.5498,4.7176,2.5628,4.2279,,,,,,,,
05,025,AR,Cleveland County,45256,15.8,13.134,8.46,23.9921,2.9081,5.6841,11.8969,6.6094,8.9888,9.5175,23.9921,20.0925,32.0555,56.9729,37.8718,3.7673,3.3047,4.6927,,,,,,,,
